Agent,w_0,w_1,w_2,w_3
agent_191,0.674248,0.762909,0.601752,0.244853
agent_192,0.644883,0.949030,0.354804,0.024166
agent_193,0.624190,0.773900,0.656442,0.195471
agent_194,0.560784,0.657062,0.281408,0.146332
agent_195,0.681046,0.829882,0.414020,0.109341
agent_196,0.520800,0.804237,0.319026,0.245638
agent_197,0.593225,0.806647,0.207648,0.229349
agent_198,0.708777,0.818840,0.456297,0.267641
agent_199,0.713028,0.781404,0.449219,0.116838
agent_200,0.750758,0.848392,0.523322,0.224914
agent_201,0.661311,0.693372,0.553949,0.230729
agent_202,0.376993,0.771906,0.243146,0.175195
agent_203,0.480886,0.986458,0.168191,0.060788
agent_204,0.573405,0.856553,0.431593,0.198413
agent_205,0.581414,0.855185,0.301374,0.295888
agent_206,0.499416,0.847328,0.433798,0.118884
agent_207,0.432776,0.767027,0.367592,0.322541
agent_208,0.667679,0.799370,0.399824,0.205868
agent_209,0.610006,0.734442,0.582862,0.321129
agent_210,0.525281,0.751340,0.448503,0.036295
agent_211,0.475061,0.862329,0.561830,0.234701
agent_212,0.675885,0.859560,0.496640,0.165861
agent_213,0.567920,0.773166,0.470050,0.199954
agent_214,0.641482,0.703322,0.402699,0.409341
agent_215,0.463062,0.826954,0.295887,0.067224
agent_216,0.537271,0.715450,0.403406,0.135404
agent_217,0.608911,0.718438,0.490719,0.157720
agent_218,0.601859,0.565968,0.346540,0.035575
agent_219,0.603888,0.650763,0.422317,0.190091
agent_220,0.555948,0.753390,0.305195,0.373290
agent_221,0.580718,0.927032,0.458067,0.301720
agent_222,0.562320,0.587339,0.232989,0.199638
agent_223,0.634750,0.727311,0.354928,0.266936
agent_224,0.762014,0.922183,0.402401,0.131231
agent_225,0.541500,0.647922,0.236961,0.243977
agent_226,0.635934,0.458055,0.360517,0.165779
agent_227,0.433290,0.779502,0.545518,0.308379
agent_228,0.436282,0.783690,0.415978,0.084605
agent_229,0.751528,0.852831,0.493253,0.239613
agent_230,0.574723,0.789044,0.679206,0.096254
agent_231,0.489712,1.000000,0.341912,0.158293
agent_232,0.463024,0.703463,0.310118,0.173519
agent_233,0.479024,0.965656,0.337821,0.206008
agent_234,0.573574,0.916637,0.464979,0.197758
agent_235,0.679202,0.871167,0.543881,0.308275
agent_236,0.648952,0.768464,0.282432,0.243124
agent_237,0.677220,0.865736,0.413358,0.277177
agent_238,0.518790,0.729705,0.382069,0.171587
agent_239,0.651051,0.753963,0.383904,0.153520
agent_240,0.583139,0.661949,0.322709,0.110289
agent_241,0.577172,0.763870,0.354693,0.270483
agent_242,0.319597,0.794280,0.413143,0.316459
agent_243,0.697796,0.936113,0.478042,0.148142
agent_244,0.660330,0.762206,0.434669,0.142584
agent_245,0.589659,0.843658,0.447622,0.305562
agent_246,0.599463,0.753350,0.440334,0.277355
agent_247,0.504609,0.873585,0.477416,0.210561
agent_248,0.531026,0.957892,0.474980,0.203955
agent_249,0.824462,1.000000,0.389388,0.286474
agent_250,0.625021,0.750868,0.415412,0.306418
agent_251,0.560066,0.825321,0.331329,0.128598
agent_252,0.461848,0.942428,0.417074,0.232563
agent_253,0.532690,0.706593,0.518514,0.036079
agent_254,0.857718,0.813545,0.393261,0.340149
agent_255,0.695058,0.789175,0.414805,0.136618
agent_256,0.651257,0.765290,0.358098,0.202910
agent_257,0.676004,0.864848,0.310071,0.370497
agent_258,0.726823,0.819005,0.453487,0.331541
agent_259,0.570016,0.783728,0.473017,0.305890
agent_260,0.835296,0.863233,0.502539,0.238757
agent_261,0.753902,0.790742,0.386774,0.114104
agent_262,0.478654,0.786187,0.535723,0.051447
agent_263,0.507838,0.847898,0.557401,0.301249
agent_264,0.588916,0.760578,0.332859,0.246930
agent_265,0.568970,0.852595,0.347567,0.036611
agent_266,0.534351,0.766396,0.296272,0.231965
agent_267,0.502768,0.659773,0.499924,0.193568
agent_268,0.648747,0.781007,0.399004,0.228159
agent_269,0.682975,0.768570,0.233258,0.186067
agent_270,0.486852,0.798950,0.573361,0.283161
agent_271,0.600621,0.811100,0.505117,0.211769
agent_272,0.722831,0.523826,0.333565,0.348379
agent_273,0.338064,0.960763,0.410317,0.076497
agent_274,0.681945,0.802362,0.250464,0.206320
agent_275,0.613952,0.660222,0.479690,0.080718
agent_276,0.567616,0.809674,0.331404,0.232249
agent_277,0.650260,0.891739,0.482547,0.306971
agent_278,0.586213,0.726717,0.322071,0.115879
agent_279,0.789882,0.838087,0.600710,0.205730
agent_280,0.578808,0.625731,0.258447,0.139093
agent_281,0.659446,0.795155,0.379669,0.219885
agent_282,0.551608,0.920902,0.363400,0.397425
agent_283,0.465566,0.896563,0.382225,0.204620
agent_284,0.580357,0.719708,0.431564,0.163145
agent_285,0.685546,0.850729,0.534720,0.284371
agent_286,0.389238,0.623121,0.579203,0.080207
agent_287,0.549300,0.916380,0.599760,0.262646
agent_288,0.783905,0.831499,0.360643,0.293813
agent_289,0.589294,0.725167,0.361315,0.171099
agent_290,0.781131,0.766446,0.223519,0.102414
agent_291,0.606103,0.801102,0.393713,0.218431
agent_292,0.460015,0.911064,0.369367,0.076153
agent_293,0.496836,0.751445,0.562809,0.334930
agent_294,0.873875,0.798087,0.341592,0.264328
agent_295,0.589384,0.744745,0.585493,0.255964
agent_296,0.620813,0.907251,0.553815,0.264051
agent_297,0.634350,0.767063,0.457735,0.183375
agent_298,0.641001,0.873107,0.501724,0.305638
agent_299,0.683720,0.820554,0.474694,0.241984
agent_300,0.467827,0.755966,0.269784,0.251832
agent_301,0.510052,0.913727,0.529197,0.192690
agent_302,0.629610,1.000000,0.505216,0.362956
agent_303,0.621656,0.767833,0.330764,0.108282
agent_304,0.552742,0.725256,0.346793,0.412020
agent_305,0.659349,0.931576,0.381231,0.360581
agent_306,0.635919,1.000000,0.409318,0.335374
agent_307,0.792141,0.704241,0.275389,0.287935
agent_308,0.565681,0.732172,0.330968,0.193101
agent_309,0.603576,0.811038,0.414993,0.090153
agent_310,0.631721,0.777360,0.305700,0.105131
agent_311,0.516217,0.837546,0.543952,0.293973
agent_312,0.678848,0.858927,0.466681,0.234436
agent_313,0.643567,0.790536,0.364564,0.185849
agent_314,0.487272,0.743572,0.429719,0.197670
agent_315,0.697590,0.799953,0.388259,0.049101
agent_316,0.609263,0.761340,0.603891,0.000000
agent_317,0.636191,0.841257,0.324698,0.278270
agent_318,0.582607,0.831404,0.455202,0.219234
agent_319,0.531003,0.778831,0.403091,0.211057
agent_320,0.608293,0.805629,0.411759,0.244017
agent_321,0.408867,0.680698,0.489622,0.176264
agent_322,0.537784,0.827052,0.450130,0.258596
agent_323,0.628736,0.622341,0.306071,0.064202
agent_324,0.599471,0.974201,0.389446,0.325168
agent_325,0.565764,0.938169,0.421223,0.281966
agent_326,0.770858,0.873527,0.396079,0.142303
agent_327,0.510596,0.829620,0.342132,0.009905
agent_328,0.784243,0.949783,0.567392,0.260082
agent_329,0.522095,0.727653,0.526746,0.083651
agent_330,0.610547,0.758955,0.347754,0.299703
agent_331,0.592013,0.823035,0.369129,0.183179
agent_332,0.629174,0.939777,0.359342,0.103871
agent_333,0.612515,0.945835,0.553692,0.141721
agent_334,0.775264,0.963344,0.407274,0.025874
agent_335,0.670436,0.684461,0.485034,0.084948
agent_336,0.425410,0.841836,0.484174,0.159594
agent_337,0.572812,0.949222,0.485626,0.231973
agent_338,0.476096,0.744504,0.459976,0.197708
agent_339,0.644148,0.788440,0.490180,0.170159
agent_340,0.660176,0.911869,0.252668,0.180150
agent_341,0.582601,0.702900,0.316521,0.244430
agent_342,0.510753,0.692348,0.441382,0.183205
agent_343,0.630260,0.696101,0.438792,0.000000
agent_344,0.482746,0.873047,0.309553,0.067741
agent_345,0.637312,0.840267,0.446315,0.145165
agent_346,0.612218,0.724501,0.458596,0.179244
agent_347,0.641158,0.931155,0.372920,0.177010
agent_348,0.339082,0.820591,0.452931,0.294574
agent_349,0.714853,0.718058,0.479182,0.072348
agent_350,0.656514,0.697345,0.349831,0.149882
agent_351,0.672992,0.714808,0.211271,0.147831
agent_352,0.571899,0.717969,0.407325,0.258584
agent_353,0.673096,0.968539,0.432902,0.097083
agent_354,0.497553,0.829261,0.214367,0.083181
agent_355,0.575775,0.992036,0.363450,0.169378
agent_356,0.324764,0.737493,0.440213,0.123064
agent_357,0.595913,0.718560,0.386106,0.101323
agent_358,0.512405,0.929735,0.484492,0.194407
agent_359,0.625249,0.690924,0.386240,0.117970
agent_360,0.619879,0.807238,0.198800,0.097868
agent_361,0.504071,0.886328,0.330144,0.259742
agent_362,0.619589,0.705085,0.289763,0.221599
agent_363,0.598472,0.804374,0.281087,0.234872
agent_364,0.599048,0.537678,0.407214,0.398869
agent_365,0.713805,0.691452,0.315090,0.202736
agent_366,0.713265,0.823012,0.389632,0.307181
agent_367,0.576897,1.000000,0.389228,0.017160
agent_368,0.444898,0.819025,0.444414,0.000000
agent_369,0.434222,0.575569,0.465426,0.122505
agent_370,0.689607,0.880324,0.300279,0.357314
agent_371,0.554531,0.841183,0.257920,0.029846
agent_372,0.738188,0.957457,0.191022,0.228043
agent_373,0.573656,0.886357,0.244766,0.198582
agent_374,0.548745,0.691892,0.336020,0.288426
agent_375,0.814526,0.787502,0.381092,0.174532
agent_376,0.651754,0.734788,0.409011,0.165848
agent_377,0.597486,0.837982,0.471108,0.369712
agent_378,0.678301,0.746664,0.331638,0.226353
agent_379,0.511157,0.690040,0.408143,0.049033
agent_380,0.512706,0.733568,0.422733,0.187080
agent_381,0.588965,1.000000,0.407890,0.119462
agent_382,0.662122,0.843854,0.456085,0.121883
agent_383,0.621591,0.693271,0.358335,0.229666
agent_384,0.506123,0.705341,0.290322,0.258412
agent_385,0.697668,1.000000,0.450521,0.260310
agent_386,0.654763,0.856731,0.436763,0.125178
agent_387,0.687853,0.560176,0.279505,0.292639
agent_388,0.646077,0.711189,0.256703,0.082515
agent_389,0.758890,0.587128,0.420485,0.322917
agent_390,0.607044,0.686094,0.633496,0.052396
agent_391,0.679214,0.833478,0.303939,0.116618
agent_392,0.684423,1.000000,0.322209,0.119437
agent_393,0.429271,0.842275,0.481369,0.125223
agent_394,0.685805,0.800701,0.488940,0.166881
agent_395,0.717807,0.775011,0.336450,0.258651
agent_396,0.550576,0.727895,0.339990,0.334634
agent_397,0.722638,0.876148,0.157677,0.167334
agent_398,0.563843,0.900673,0.555672,0.456819
agent_399,0.566849,0.812723,0.278959,0.203967
agent_400,0.580203,0.847443,0.533583,0.430003
agent_401,0.646054,0.863587,0.530173,0.000000
agent_402,0.552372,0.870719,0.379098,0.123352
agent_403,0.714788,0.945220,0.448299,0.391219
agent_404,0.551260,0.799178,0.432018,0.338093
agent_405,0.702805,0.916220,0.374371,0.195371
agent_406,0.760210,0.895676,0.424740,0.316438
agent_407,0.658098,0.971478,0.448392,0.000000
agent_408,0.492781,0.731627,0.386355,0.000000
agent_409,0.708024,0.708764,0.333127,0.468404
agent_410,0.490553,0.676315,0.230505,0.283788
agent_411,0.696285,0.826637,0.415029,0.320010
agent_412,0.743860,0.694876,0.226262,0.156794
agent_413,0.671340,0.829059,0.507473,0.051224
agent_414,0.630964,0.693040,0.231739,0.272785
agent_415,0.573948,0.790176,0.366177,0.284042
agent_416,0.636395,0.841723,0.557493,0.225502
agent_417,0.669445,0.760177,0.412594,0.349536
agent_418,0.698534,0.766252,0.375794,0.203155
agent_419,0.553880,0.794299,0.312851,0.269988
agent_420,0.489699,0.809007,0.283107,0.206974
agent_421,0.488800,0.867830,0.356698,0.232447
agent_422,0.457725,0.739044,0.416715,0.272210
agent_423,0.536200,0.860667,0.411815,0.216993
agent_424,0.628969,0.805581,0.553952,0.362575
agent_425,0.538656,0.894905,0.401838,0.380901
agent_426,0.554306,0.896906,0.437514,0.255523
agent_427,0.585027,0.892446,0.557441,0.050306
agent_428,0.705095,0.681035,0.539956,0.223166
agent_429,0.568166,0.776888,0.450550,0.045004
agent_430,0.657794,0.931391,0.263714,0.407758
agent_431,0.431894,0.699846,0.589328,0.204716
agent_432,0.686445,0.629885,0.316960,0.327486
agent_433,0.452007,0.780797,0.369441,0.149019
agent_434,0.572617,0.884557,0.502498,0.271293
agent_435,0.559510,0.762435,0.318722,0.201588
agent_436,0.670634,0.819505,0.383737,0.206003
agent_437,0.653835,0.728473,0.359275,0.067711
agent_438,0.553585,0.837860,0.317102,0.040031
agent_439,0.602248,0.825704,0.413013,0.191878
agent_440,0.698187,0.821247,0.384337,0.375401
agent_441,0.498312,0.638847,0.399139,0.047710
agent_442,0.474733,0.740969,0.424673,0.371604
agent_443,0.464745,0.921554,0.484210,0.207092
agent_444,0.492615,0.909595,0.375450,0.153219
agent_445,0.355366,0.787028,0.376699,0.131522
agent_446,0.419918,0.951002,0.441664,0.172739
agent_447,0.485781,0.839818,0.304072,0.166642
agent_448,0.637118,0.657338,0.406039,0.218525
agent_449,0.623022,0.759674,0.326783,0.281139
agent_450,0.523375,0.716237,0.353822,0.203803
agent_451,0.756914,0.900321,0.301383,0.113024
agent_452,0.561208,0.874407,0.445342,0.276781
agent_453,0.585469,0.879573,0.395926,0.193988
agent_454,0.609227,0.795825,0.469777,0.170817
agent_455,0.583900,0.786573,0.278363,0.000000
agent_456,0.567788,0.804073,0.616917,0.287713
agent_457,0.649815,0.809188,0.414678,0.338055
agent_458,0.685637,0.662787,0.328336,0.174903
agent_459,0.679465,0.699815,0.467284,0.206762
agent_460,0.690433,0.814606,0.316941,0.239883
agent_461,0.669415,0.939343,0.495190,0.149299
agent_462,0.520975,0.769510,0.302778,0.122239
agent_463,0.552457,0.876579,0.413864,0.202947
agent_464,0.690427,0.777667,0.300911,0.285286
agent_465,0.724904,0.841703,0.349166,0.000000
agent_466,0.569148,0.902188,0.364824,0.172305
agent_467,0.552774,0.906017,0.485416,0.301476
agent_468,0.509742,0.813766,0.312465,0.217192
agent_469,0.527520,0.905017,0.257166,0.192348
agent_470,0.712091,0.658151,0.386453,0.308722
agent_471,0.662106,0.841771,0.542529,0.360737
agent_472,0.626925,0.755028,0.610036,0.356766
agent_473,0.363110,0.680142,0.448974,0.178303
agent_474,0.547060,0.841698,0.368812,0.180398
agent_475,0.548208,0.871203,0.451443,0.231799
agent_476,0.649449,0.810008,0.422209,0.200522
agent_477,0.688567,0.706358,0.597010,0.346078
agent_478,0.607819,0.698991,0.572296,0.273317
agent_479,0.327280,0.655784,0.502171,0.279125
agent_480,0.824379,0.737199,0.316278,0.162105
agent_481,0.707839,0.801515,0.383485,0.214559
agent_482,0.585262,0.893524,0.518640,0.190597
agent_483,0.498261,0.751622,0.413085,0.209665
agent_484,0.795620,0.941730,0.235629,0.092440
agent_485,0.610978,0.970351,0.262680,0.230993
agent_486,0.399089,0.803865,0.279889,0.211919
agent_487,0.570123,0.733940,0.573864,0.191049
agent_488,0.545189,0.727489,0.417220,0.191381
agent_489,0.351148,0.878283,0.463046,0.164698
agent_490,0.545349,0.770731,0.562697,0.302133
agent_491,0.614205,0.833644,0.442766,0.000000
agent_492,0.421506,0.815881,0.423718,0.086514
agent_493,0.729163,0.851118,0.421557,0.032076
agent_494,0.658713,0.766148,0.476290,0.113047
agent_495,0.872682,0.737442,0.344354,0.000000
agent_496,0.571520,0.875291,0.477984,0.212730
agent_497,0.772132,0.909190,0.423873,0.212463
agent_498,0.435246,0.873361,0.527775,0.101824
agent_499,0.470811,0.815245,0.294330,0.165283
agent_500,0.547864,0.792364,0.293539,0.306025
agent_501,0.528970,0.816850,0.458209,0.285279
agent_502,0.532248,0.919870,0.207552,0.000000
agent_503,0.595921,0.653559,0.365951,0.246947
agent_504,0.460639,0.781672,0.357676,0.012586
agent_505,0.594372,0.757967,0.367668,0.103849
agent_506,0.554376,0.739991,0.536289,0.215536
agent_507,0.554077,0.740562,0.332069,0.058064
agent_508,0.585283,0.654370,0.438943,0.110386
agent_509,0.633389,0.763071,0.309415,0.050877
agent_510,0.674892,0.721268,0.268671,0.094533
agent_511,0.426884,0.924336,0.326589,0.191883
agent_512,0.501831,0.751252,0.494768,0.263877
agent_513,0.573459,0.850912,0.367886,0.243988
agent_514,0.549978,0.678680,0.371115,0.104764
agent_515,0.479862,0.713868,0.439652,0.196767
agent_516,0.647809,0.878557,0.357038,0.165423
agent_517,0.538955,0.686183,0.416984,0.120378
agent_518,0.641024,0.765644,0.269847,0.129340
agent_519,0.559275,0.654524,0.498918,0.278041
agent_520,0.593122,0.752337,0.387696,0.149633
agent_521,0.586430,0.864256,0.382605,0.242769
agent_522,0.523412,0.816209,0.483689,0.124481
agent_523,0.597907,0.766636,0.445872,0.323161
agent_524,0.628217,0.971224,0.506479,0.391062
agent_525,0.738071,0.741697,0.440342,0.299894
agent_526,0.561842,0.735523,0.411228,0.099321
agent_527,0.679635,0.905515,0.338982,0.246071
agent_528,0.567867,0.833440,0.336379,0.335505
agent_529,0.407079,0.871789,0.585278,0.278816
agent_530,0.813319,0.777492,0.331477,0.101823
agent_531,0.473086,0.925773,0.319959,0.166599
agent_532,0.734234,0.769716,0.349217,0.011563
agent_533,0.730825,0.855784,0.371929,0.180055
agent_534,0.615031,0.754150,0.463613,0.167556
agent_535,0.766922,0.778343,0.370311,0.177715
agent_536,0.593005,0.823253,0.292510,0.326489
agent_537,0.501903,0.950252,0.451534,0.066622
agent_538,0.507671,0.611125,0.498992,0.330578
agent_539,0.691636,0.752554,0.360093,0.254543
agent_540,0.412277,0.753140,0.217239,0.340796
agent_541,0.583919,0.860990,0.307378,0.135433
agent_542,0.609012,0.766529,0.411768,0.160674
agent_543,0.601585,0.713052,0.399037,0.126320
agent_544,0.473101,0.776356,0.305131,0.289231
agent_545,0.449094,0.974210,0.422586,0.279308
agent_546,0.788111,0.563531,0.231847,0.208499
agent_547,0.521065,0.851096,0.363462,0.153492
agent_548,0.570796,0.741865,0.521135,0.177123
agent_549,0.627611,0.780662,0.527208,0.215978
agent_550,0.664264,0.875701,0.422161,0.160206
agent_551,0.413486,0.785839,0.286545,0.140354
agent_552,0.624726,0.700360,0.474976,0.102727
agent_553,0.621031,0.956638,0.306854,0.261142
agent_554,0.669106,0.731649,0.369931,0.264334
agent_555,0.587607,0.742896,0.344801,0.162058
agent_556,0.629693,0.716808,0.386308,0.182643
agent_557,0.580088,0.886035,0.334015,0.179160
