Agent,Start,Dest,Time
agent_141,35,80,15.48
agent_142,20,53,15.63
agent_143,86,70,15.87
agent_144,33,86,16.08
agent_145,40,28,16.19
agent_146,72,88,16.42
agent_147,55,1,16.42
agent_148,3,68,16.57
agent_149,14,16,16.63
agent_150,24,12,16.9
agent_151,47,54,16.96
agent_152,42,41,17.34
agent_153,82,80,17.34
agent_154,52,81,17.36
agent_155,45,64,17.44
agent_156,67,3,17.55
agent_157,78,75,17.73
agent_158,81,58,18.03
agent_159,48,1,18.13
agent_160,30,18,18.27
agent_161,72,14,18.42
agent_162,83,62,18.51
agent_163,76,25,18.53
agent_164,75,87,18.56
agent_165,78,80,18.61
agent_166,20,88,18.81
agent_167,47,13,18.84
agent_168,1,62,19.15
agent_169,11,16,19.3
agent_170,24,66,19.39
agent_171,43,82,19.48
agent_172,8,43,19.62
agent_173,4,72,19.76
agent_174,63,24,19.87
agent_175,75,5,19.89
agent_176,7,87,20.08
agent_177,60,17,20.16
agent_178,62,20,20.27
agent_179,52,57,20.27
agent_180,26,31,20.35
agent_181,27,63,20.37
agent_182,80,40,20.39
agent_183,88,33,20.55
agent_184,51,43,20.62
agent_185,3,2,20.77
agent_186,77,58,21.15
agent_187,10,74,21.34
agent_188,87,16,21.44
agent_189,64,65,21.73
agent_190,27,33,21.93
agent_191,15,74,22.2
agent_192,78,65,22.21
agent_193,56,22,22.39
agent_194,25,6,22.52
agent_195,62,47,22.67
agent_196,14,5,22.7
agent_197,20,43,22.75
agent_198,25,38,22.79
agent_199,84,81,22.86
agent_200,46,7,23.05
agent_201,20,24,23.34
agent_202,38,63,23.36
agent_203,64,7,23.44
agent_204,26,37,23.64
agent_205,4,76,23.75
agent_206,71,4,23.96
agent_207,8,21,24.13
agent_208,10,21,24.16
agent_209,74,25,24.17
agent_210,0,37,24.19
agent_211,65,83,24.31
agent_212,16,37,24.4
agent_213,77,14,24.73
agent_214,62,10,24.85
agent_215,25,54,24.87
agent_216,43,41,24.91
agent_217,22,45,24.95
agent_218,62,55,25.11
agent_219,57,55,25.18
agent_220,68,38,25.26
agent_221,25,40,25.29
agent_222,86,37,25.37
agent_223,3,47,25.44
agent_224,6,25,25.48
agent_225,77,71,25.48
agent_226,2,55,25.61
agent_227,17,80,25.73
agent_228,11,27,25.78
agent_229,53,20,25.79
agent_230,0,45,25.81
agent_231,72,85,26.01
agent_232,35,0,26.2
agent_233,71,53,26.23
agent_234,63,72,26.29
agent_235,5,52,26.47
agent_236,22,31,26.48
agent_237,14,52,26.49
agent_238,30,45,26.56
agent_239,3,42,26.65
agent_240,6,64,26.67
agent_241,20,57,26.79
agent_242,43,71,26.8
agent_243,68,84,27.01
agent_244,57,44,27.59
agent_245,0,11,27.65
agent_246,3,88,27.75
agent_247,55,65,27.91
agent_248,21,2,28.03
agent_249,57,66,28.11
agent_250,1,77,28.13
agent_251,11,60,28.24
agent_252,83,58,28.32
agent_253,84,3,28.53
agent_254,51,78,28.7
agent_255,12,17,28.88
agent_256,57,28,28.92
agent_257,30,50,29.03
agent_258,3,12,29.14
agent_259,20,81,29.16
agent_260,87,23,29.33
agent_261,67,66,29.44
agent_262,20,71,29.5
agent_263,14,72,29.57
agent_264,80,40,29.65
agent_265,20,74,29.91
agent_266,84,11,29.98
agent_267,33,62,30.06
agent_268,35,80,30.3
agent_269,8,40,30.36
agent_270,43,83,30.43
agent_271,62,1,30.57
agent_272,86,15,30.61
agent_273,66,77,30.76
agent_274,77,13,30.84
agent_275,73,54,30.92
agent_276,77,6,30.97
agent_277,71,60,31.21
agent_278,82,15,31.32
agent_279,32,82,31.36
agent_280,60,5,31.54
agent_281,22,23,31.56
agent_282,23,30,31.64
agent_283,31,14,31.91
agent_284,75,54,32.11
agent_285,73,42,32.15
agent_286,87,24,32.21
agent_287,13,18,32.26
agent_288,55,46,32.34
agent_289,68,14,32.39
agent_290,55,48,32.47
agent_291,30,2,32.65
agent_292,42,75,32.78
agent_293,64,57,33.09
agent_294,70,78,33.36
agent_295,31,52,33.42
agent_296,75,80,33.86
agent_297,20,60,33.86
agent_298,57,53,33.99
agent_299,58,73,33.99
agent_300,12,26,34.38
agent_301,37,23,34.43
agent_302,0,74,34.6
agent_303,33,47,34.62
agent_304,27,80,34.64
agent_305,8,57,34.65
agent_306,64,14,34.67
agent_307,35,26,34.91
agent_308,66,7,34.97
agent_309,63,81,35.06
agent_310,10,51,35.35
agent_311,4,21,35.38
agent_312,88,57,35.43
agent_313,34,8,35.45
agent_314,20,1,35.48
agent_315,22,44,35.64
agent_316,85,76,35.85
agent_317,38,43,35.93
agent_318,42,67,35.98
agent_319,61,77,35.99
agent_320,15,58,36.27
agent_321,68,18,36.31
agent_322,2,7,36.32
agent_323,11,38,36.33
agent_324,88,57,36.37
agent_325,63,46,36.72
agent_326,32,76,36.91
agent_327,47,40,36.93
agent_328,46,76,37.07
agent_329,10,34,37.13
agent_330,72,51,37.18
agent_331,34,10,37.73
agent_332,35,46,37.73
agent_333,46,87,37.82
agent_334,77,70,38.21
agent_335,16,28,38.36
agent_336,70,30,38.43
agent_337,83,48,38.69
agent_338,71,61,38.87
agent_339,52,16,38.95
agent_340,35,85,39.0
agent_341,64,54,39.07
agent_342,1,71,39.12
agent_343,15,28,39.63
agent_344,36,84,39.67
agent_345,5,42,39.75
agent_346,66,88,39.77
agent_347,11,63,39.81
agent_348,67,27,40.0
agent_349,68,62,40.02
agent_350,76,28,40.15
agent_351,27,28,40.51
agent_352,48,0,40.67
agent_353,43,76,40.68
agent_354,15,80,40.88
agent_355,12,10,40.97
agent_356,62,35,41.24
agent_357,23,45,41.31
agent_358,55,54,41.34
agent_359,60,20,41.54
agent_360,46,73,41.62
agent_361,8,23,41.75
agent_362,61,80,41.81
agent_363,40,12,41.88
agent_364,57,35,41.88
agent_365,34,88,42.05
agent_366,42,78,42.09
agent_367,18,51,42.14
agent_368,81,43,42.15
agent_369,7,2,42.16
agent_370,30,42,42.17
agent_371,87,74,42.33
agent_372,43,52,42.37
agent_373,77,13,42.59
agent_374,48,73,42.61
agent_375,0,82,42.9
agent_376,54,4,42.95
agent_377,71,11,43.14
agent_378,68,86,43.19
agent_379,0,87,43.22
agent_380,24,38,43.24
agent_381,3,11,43.59
agent_382,24,35,43.59
agent_383,66,54,43.71
agent_384,27,30,43.85
agent_385,47,1,43.95
agent_386,75,42,44.17
agent_387,76,46,44.36
agent_388,41,63,44.41
agent_389,23,54,44.52
agent_390,2,21,44.61
agent_391,4,14,44.79
agent_392,11,0,44.95
agent_393,56,1,45.02
agent_394,46,28,45.31
agent_395,25,47,45.46
agent_396,41,82,45.78
agent_397,5,74,46.02
agent_398,51,74,46.02
agent_399,42,68,46.05
agent_400,81,46,46.11
agent_401,71,23,46.14
agent_402,41,16,46.23
agent_403,67,85,46.34
agent_404,16,80,46.44
agent_405,36,24,46.45
agent_406,70,63,46.47
agent_407,72,41,46.55
agent_408,81,23,46.61
agent_409,84,70,46.71
agent_410,52,40,46.99
agent_411,0,51,47.18
agent_412,13,74,47.6
agent_413,81,42,47.64
agent_414,82,33,47.77
agent_415,23,64,47.87
agent_416,57,51,47.94
agent_417,18,20,47.97
agent_418,30,16,48.05
agent_419,84,81,48.07
agent_420,43,73,48.1
agent_421,50,12,48.14
agent_422,31,77,48.18
agent_423,50,86,48.24
agent_424,26,68,48.44
agent_425,12,72,48.45
agent_426,56,25,48.51
agent_427,1,31,48.52
agent_428,67,54,48.59
agent_429,40,48,48.64
agent_430,36,25,48.66
agent_431,57,45,48.75
agent_432,22,44,48.97
agent_433,46,11,48.97
agent_434,77,27,49.04
agent_435,20,0,49.12
agent_436,6,58,49.14
agent_437,21,67,49.17
agent_438,52,83,49.31
agent_439,22,48,49.33
agent_440,18,56,49.67
agent_441,46,63,49.73
agent_442,56,30,49.78
agent_443,56,74,49.79
agent_444,58,33,49.89
agent_445,28,12,49.9
agent_446,86,57,49.95
agent_447,33,20,50.47
agent_448,34,10,50.57
agent_449,14,86,50.86
agent_450,72,87,50.94
agent_451,0,13,51.14
agent_452,56,83,51.17
agent_453,60,73,51.17
agent_454,76,70,51.22
agent_455,14,67,51.24
agent_456,11,20,51.29
agent_457,88,23,51.34
agent_458,21,58,51.64
agent_459,1,77,51.64
agent_460,12,38,51.74
agent_461,85,56,51.97
agent_462,60,3,52.3
agent_463,87,0,52.61
agent_464,3,1,52.64
agent_465,62,48,52.82
agent_466,10,75,52.84
agent_467,53,5,52.85
agent_468,24,5,52.97
agent_469,21,45,53.29
agent_470,86,7,53.39
agent_471,72,28,53.62
agent_472,2,28,53.68
agent_473,24,7,53.69
agent_474,85,34,53.82
agent_475,10,18,53.83
agent_476,13,75,54.23
agent_477,81,63,54.29
agent_478,70,20,54.37
agent_479,27,85,54.44
agent_480,33,36,54.49
agent_481,17,50,54.81
agent_482,64,18,54.82
agent_483,67,53,55.07
agent_484,28,73,55.24
agent_485,4,48,55.29
agent_486,16,80,55.29
agent_487,14,81,55.31
agent_488,71,11,55.51
agent_489,37,62,55.54
agent_490,42,50,55.72
agent_491,26,70,55.8
agent_492,88,10,56.27
agent_493,35,26,56.34
agent_494,2,36,56.36
agent_495,71,33,56.47
agent_496,13,35,56.49
agent_497,50,37,56.51
agent_498,30,15,56.51
agent_499,87,4,56.52
agent_500,78,77,56.55
agent_501,25,61,56.63
agent_502,0,86,56.65
agent_503,75,32,57.23
agent_504,24,21,57.53
agent_505,13,1,57.65
agent_506,4,5,57.68
agent_507,73,71,57.68
agent_508,52,4,57.76
agent_509,5,16,57.92
agent_510,45,57,57.99
agent_511,46,43,58.02
agent_512,66,43,58.05
agent_513,24,42,58.18
agent_514,15,1,58.56
agent_515,64,81,58.73
agent_516,52,30,58.76
agent_517,22,58,59.02
agent_518,36,46,59.03
agent_519,74,57,59.21
agent_520,25,45,59.6
agent_521,38,37,59.77
agent_522,65,45,59.81
agent_523,87,40,60.06
agent_524,85,71,60.36
agent_525,74,13,60.38
agent_526,82,61,60.53
agent_527,47,15,60.81
agent_528,15,57,61.17
agent_529,66,78,61.33
agent_530,46,4,61.45
agent_531,6,54,61.51
agent_532,26,48,61.77
agent_533,28,54,61.86
agent_534,26,20,61.98
agent_535,47,83,62.09
agent_536,46,30,62.44
agent_537,66,10,62.49
agent_538,72,64,63.01
agent_539,68,65,63.07
agent_540,71,72,63.09
agent_541,67,22,63.25
agent_542,55,51,63.28
agent_543,8,84,63.34
agent_544,68,55,63.5
agent_545,74,61,63.72
agent_546,28,1,63.88
agent_547,46,63,63.99
agent_548,74,56,64.09
agent_549,43,40,64.1
agent_550,38,1,64.14
agent_551,54,53,64.21
agent_552,50,10,64.25
agent_553,14,12,64.26
agent_554,7,38,64.27
agent_555,70,72,64.4
agent_556,61,38,64.42
agent_557,81,67,64.56
agent_558,77,83,64.57
agent_559,16,80,64.95
agent_560,50,36,64.99
agent_561,35,64,65.02
agent_562,24,84,65.08
agent_563,43,30,65.42
agent_564,80,8,65.52
agent_565,28,11,65.56
agent_566,32,13,65.66
agent_567,20,5,65.75
agent_568,38,40,66.28
agent_569,78,56,66.33
agent_570,63,47,66.52
agent_571,34,58,66.68
agent_572,44,25,66.75
agent_573,86,20,66.84
agent_574,21,37,66.89
agent_575,83,20,67.26
agent_576,71,65,67.3
agent_577,72,36,67.46
agent_578,58,66,67.59
agent_579,32,3,67.76
agent_580,45,1,67.84
agent_581,50,58,68.11
agent_582,31,8,68.13
agent_583,14,20,68.19
agent_584,56,25,68.32
agent_585,23,70,68.36
agent_586,36,26,68.38
agent_587,30,86,68.61
agent_588,51,0,68.61
agent_589,37,83,68.64
agent_590,81,52,68.68
agent_591,60,81,68.71
agent_592,0,71,68.72
agent_593,22,35,68.95
agent_594,30,34,68.96
agent_595,81,83,69.33
agent_596,24,88,69.54
agent_597,83,53,69.6
agent_598,28,68,69.7
agent_599,32,83,70.01
agent_600,31,0,70.06
agent_601,24,70,70.14
agent_602,15,18,70.2
agent_603,10,86,70.23
agent_604,67,37,70.3
agent_605,48,71,70.39
agent_606,67,37,70.46
agent_607,55,32,70.77
agent_608,23,30,70.79
agent_609,67,54,70.83
agent_610,88,78,71.0
agent_611,74,18,71.13
agent_612,83,10,71.15
agent_613,64,40,71.35
agent_614,23,63,71.47
agent_615,75,74,71.7
agent_616,46,77,71.85
agent_617,58,41,72.14
agent_618,57,73,72.14
agent_619,41,40,72.35
agent_620,82,13,72.48
agent_621,37,25,72.91
agent_622,55,68,73.05
agent_623,35,22,73.06
agent_624,4,57,73.06
agent_625,76,75,73.08
agent_626,15,10,73.11
agent_627,71,41,73.22
agent_628,64,23,73.24
agent_629,13,75,73.65
agent_630,84,47,73.66
agent_631,47,40,73.68
agent_632,6,1,73.85
agent_633,66,7,73.97
agent_634,1,47,74.04
agent_635,82,37,74.09
agent_636,31,74,74.26
agent_637,72,6,74.36
agent_638,11,34,74.51
agent_639,78,62,74.53
agent_640,15,16,74.73
agent_641,78,35,74.85
agent_642,61,7,74.89
agent_643,51,76,75.09
agent_644,44,37,75.15
agent_645,0,62,75.24
agent_646,64,73,75.31
agent_647,37,70,75.4
agent_648,47,6,75.41
agent_649,21,20,75.41
agent_650,24,57,75.44
agent_651,61,84,75.94
agent_652,50,25,75.99
agent_653,10,1,76.01
agent_654,35,17,76.03
agent_655,34,24,76.04
agent_656,45,11,76.05
agent_657,67,44,76.06
agent_658,54,40,76.09
agent_659,23,47,76.24
agent_660,55,16,76.74
agent_661,60,44,76.76
agent_662,85,21,76.86
agent_663,58,56,77.0
agent_664,13,75,77.14
agent_665,88,11,77.8
agent_666,2,4,78.05
agent_667,34,3,78.08
agent_668,64,72,78.12
agent_669,27,25,78.16
agent_670,60,37,78.16
agent_671,1,88,78.22
agent_672,7,53,78.24
agent_673,20,88,78.34
agent_674,3,25,78.39
agent_675,24,55,78.43
agent_676,14,21,78.55
agent_677,57,33,78.58
agent_678,21,14,78.82
agent_679,80,56,78.83
agent_680,14,85,78.85
agent_681,3,55,79.04
agent_682,72,0,79.05
agent_683,2,10,79.12
agent_684,82,88,79.16
agent_685,25,28,79.25
agent_686,24,80,79.29
agent_687,73,0,79.45
agent_688,84,4,79.45
agent_689,48,6,79.77
agent_690,86,47,80.03
agent_691,16,4,80.03
agent_692,4,33,80.03
agent_693,26,82,80.48
agent_694,75,80,80.7
agent_695,54,76,80.85
agent_696,84,55,81.01
agent_697,62,11,81.13
agent_698,58,34,81.19
agent_699,63,80,81.31
agent_700,81,1,81.4
agent_701,88,37,81.58
agent_702,61,87,81.78
agent_703,83,14,81.8
agent_704,46,3,81.81
agent_705,65,75,81.92
agent_706,52,53,82.06
agent_707,41,74,82.13
agent_708,62,20,82.18
agent_709,54,48,82.23
agent_710,65,6,82.45
agent_711,53,55,82.55
agent_712,77,1,82.61
agent_713,24,27,82.62
agent_714,18,78,82.68
agent_715,0,35,82.79
agent_716,10,30,82.92
agent_717,20,87,83.19
agent_718,64,20,83.37
agent_719,21,2,83.66
agent_720,3,16,83.76
agent_721,34,25,83.79
agent_722,52,78,83.81
agent_723,24,8,84.03
agent_724,4,0,84.26
agent_725,12,26,84.46
agent_726,48,70,84.49
agent_727,77,66,84.75
agent_728,80,8,84.8
agent_729,27,13,85.15
agent_730,80,76,85.26
agent_731,10,86,85.54
agent_732,50,82,85.66
agent_733,30,48,85.75
agent_734,44,55,85.79
agent_735,51,21,85.86
agent_736,60,43,86.12
agent_737,65,75,86.16
agent_738,84,31,86.19
agent_739,63,1,86.22
agent_740,11,56,86.26
agent_741,23,30,86.44
agent_742,35,31,86.61
agent_743,4,37,86.94
agent_744,44,57,87.04
agent_745,71,73,87.12
agent_746,35,76,87.2
agent_747,35,74,87.31
agent_748,65,7,87.44
agent_749,46,41,87.46
agent_750,47,88,87.59
agent_751,27,63,87.65
agent_752,75,65,87.75
agent_753,66,26,87.77
agent_754,45,34,87.82
agent_755,31,73,87.99
agent_756,34,87,88.36
agent_757,28,66,88.37
agent_758,41,4,88.71
agent_759,6,10,88.82
agent_760,12,84,89.04
agent_761,30,10,89.04
agent_762,14,57,89.07
agent_763,76,16,89.1
agent_764,34,87,89.11
agent_765,65,14,89.14
agent_766,57,73,89.3
agent_767,77,35,89.38
agent_768,45,33,89.4
agent_769,72,63,89.72
agent_770,21,54,89.73
agent_771,54,53,89.84
agent_772,11,37,90.1
agent_773,21,70,90.15
agent_774,60,22,90.18
agent_775,66,83,90.21
agent_776,11,75,90.56
agent_777,26,73,90.58
agent_778,52,30,90.61
agent_779,83,55,90.71
agent_780,26,50,90.75
agent_781,86,38,90.76
agent_782,34,35,90.84
agent_783,22,13,90.98
agent_784,41,12,91.02
agent_785,5,45,91.27
agent_786,21,75,91.28
agent_787,58,8,91.28
agent_788,28,78,91.34
agent_789,74,5,91.54
agent_790,53,32,91.57
agent_791,33,30,91.78
agent_792,77,73,91.84
agent_793,86,65,91.87
agent_794,75,0,91.88
agent_795,27,48,91.89
agent_796,60,34,91.9
agent_797,76,61,91.91
agent_798,85,87,91.93
agent_799,55,6,92.03
agent_800,60,61,92.14
agent_801,28,38,92.24
agent_802,51,70,92.31
agent_803,83,66,92.41
agent_804,81,58,92.5
agent_805,61,32,92.52
agent_806,31,14,92.86
agent_807,3,6,92.99
agent_808,72,8,93.01
agent_809,31,27,93.14
agent_810,18,7,93.14
agent_811,0,53,93.38
agent_812,75,18,93.4
agent_813,25,83,93.95
agent_814,46,27,93.98
agent_815,54,8,94.03
agent_816,56,17,94.33
agent_817,36,27,94.35
agent_818,15,54,94.55
agent_819,17,46,94.64
agent_820,71,34,94.66
agent_821,4,48,94.69
agent_822,64,38,94.85
agent_823,71,16,94.93
agent_824,76,0,94.94
agent_825,52,41,95.21
agent_826,20,14,95.47
agent_827,52,1,95.5
agent_828,77,12,95.71
agent_829,17,73,95.85
agent_830,46,0,95.85
agent_831,2,30,95.94
agent_832,43,12,96.01
agent_833,15,35,96.17
agent_834,42,44,96.24
agent_835,63,84,96.27
agent_836,17,11,96.58
agent_837,62,47,96.87
agent_838,18,61,96.96
agent_839,77,51,97.03
agent_840,47,70,97.79
agent_841,8,2,97.8
agent_842,70,47,97.82
agent_843,15,54,97.92
agent_844,41,65,97.93
agent_845,44,81,97.95
agent_846,47,85,98.7
agent_847,1,11,98.71
agent_848,33,64,98.79
agent_849,43,25,98.89
agent_850,11,46,98.94
agent_851,22,26,98.97
agent_852,21,15,98.97
agent_853,53,51,99.0
agent_854,23,41,99.15
agent_855,74,23,99.24
agent_856,4,75,99.28
agent_857,55,21,99.3
agent_858,26,65,99.33
agent_859,87,53,99.43
agent_860,7,71,99.59
agent_861,16,77,99.66
agent_862,44,54,99.68
agent_863,18,25,99.8
agent_864,53,60,99.92
agent_865,43,11,100.08
agent_866,18,10,100.14
agent_867,50,48,100.45
agent_868,66,26,100.5
agent_869,76,34,100.69
agent_870,31,57,100.75
agent_871,70,82,100.91
agent_872,56,55,101.19
agent_873,50,14,101.28
agent_874,23,26,101.36
agent_875,61,22,101.46
agent_876,26,53,101.47
agent_877,62,8,101.51
agent_878,71,67,101.54
agent_879,0,1,101.73
agent_880,12,3,101.76
agent_881,68,46,101.81
agent_882,40,11,102.08
agent_883,30,46,102.19
agent_884,75,23,102.44
agent_885,31,55,102.57
agent_886,66,37,102.72
agent_887,67,25,102.73
agent_888,15,65,102.76
agent_889,45,55,103.03
agent_890,36,75,103.1
agent_891,56,83,103.12
agent_892,80,68,103.23
agent_893,65,74,103.49
agent_894,13,53,103.78
agent_895,7,58,103.78
agent_896,16,4,103.83
agent_897,12,2,103.86
agent_898,2,1,103.91
agent_899,21,84,103.95
agent_900,84,42,104.0
agent_901,47,56,104.04
agent_902,82,27,104.07
agent_903,25,75,104.11
agent_904,77,8,104.28
agent_905,7,23,104.38
agent_906,73,22,104.45
agent_907,22,47,104.45
agent_908,77,17,104.88
agent_909,18,35,105.06
agent_910,43,33,105.09
agent_911,71,5,105.2
agent_912,87,0,105.31
agent_913,10,28,105.34
agent_914,0,82,105.42
agent_915,66,67,105.45
agent_916,52,38,105.46
agent_917,17,27,105.68
agent_918,24,2,105.73
agent_919,85,62,105.79
agent_920,68,16,105.8
agent_921,11,24,106.06
agent_922,35,51,106.48
agent_923,61,55,106.51
agent_924,13,74,106.76
agent_925,5,77,107.05
agent_926,73,52,107.19
agent_927,52,33,107.24
agent_928,61,46,107.29
agent_929,44,10,107.62
agent_930,41,43,108.22
agent_931,3,20,108.25
agent_932,4,56,108.31
agent_933,4,37,108.51
agent_934,62,31,108.61
agent_935,11,20,108.66
agent_936,5,86,108.78
agent_937,71,61,108.9
agent_938,60,74,108.96
agent_939,44,64,109.02
agent_940,32,7,109.07
agent_941,1,76,109.08
agent_942,44,5,109.09
agent_943,31,25,109.09
agent_944,16,58,109.1
agent_945,52,22,109.12
agent_946,57,15,109.14
agent_947,82,57,109.17
agent_948,20,7,109.26
agent_949,12,62,109.28
agent_950,7,48,109.6
agent_951,85,56,109.68
agent_952,55,14,109.68
agent_953,82,58,109.79
agent_954,1,27,109.81
agent_955,46,41,110.28
agent_956,73,85,110.38
agent_957,4,55,110.39
agent_958,74,67,110.46
agent_959,5,20,110.63
agent_960,5,15,110.91
agent_961,57,28,111.0
agent_962,22,45,111.12
agent_963,10,56,111.2
agent_964,0,31,111.3
agent_965,76,41,111.3
agent_966,50,87,111.39
agent_967,2,84,111.47
agent_968,24,68,111.53
agent_969,26,71,111.75
agent_970,47,25,111.81
agent_971,65,52,111.87
agent_972,46,15,111.88
agent_973,63,4,111.94
agent_974,68,22,111.95
agent_975,63,56,112.08
agent_976,22,61,112.29
agent_977,66,51,112.38
agent_978,20,12,112.39
agent_979,86,71,112.48
agent_980,83,23,112.59
agent_981,37,1,112.67
agent_982,24,7,112.78
agent_983,66,21,112.8
agent_984,54,20,112.8
agent_985,72,68,112.92
agent_986,62,58,113.0
agent_987,38,32,113.02
agent_988,73,77,113.46
agent_989,60,0,113.47
agent_990,46,85,113.59
agent_991,0,77,114.17
agent_992,10,35,114.2
agent_993,88,46,114.27
agent_994,41,5,114.37
agent_995,44,83,114.41
agent_996,74,63,114.5
agent_997,86,61,114.74
agent_998,45,52,114.94
agent_999,51,48,115.09
agent_1000,6,30,115.09
agent_1001,33,77,115.15
agent_1002,47,20,115.23
agent_1003,37,30,115.31
agent_1004,67,52,115.32
agent_1005,78,10,115.59
agent_1006,37,21,115.64
agent_1007,2,68,115.69
agent_1008,86,87,115.98
agent_1009,14,81,116.07
agent_1010,54,61,116.19
agent_1011,45,74,116.27
agent_1012,73,82,116.28
agent_1013,61,32,116.41
agent_1014,78,71,116.44
agent_1015,75,0,116.6
agent_1016,35,73,116.78
agent_1017,20,46,116.89
agent_1018,1,30,116.96
agent_1019,12,22,117.03
agent_1020,52,78,117.11
agent_1021,4,63,117.39
agent_1022,48,8,117.48
agent_1023,87,81,117.71
agent_1024,82,7,117.82
agent_1025,15,38,117.92
agent_1026,23,32,118.01
agent_1027,82,52,118.15
agent_1028,15,62,119.02
agent_1029,1,27,119.19
agent_1030,14,40,119.3
agent_1031,84,47,119.32
agent_1032,27,57,119.48
agent_1033,2,48,119.6
agent_1034,14,64,119.6
agent_1035,46,28,119.69
agent_1036,38,31,120.2
agent_1037,7,53,120.54
agent_1038,83,12,120.57
agent_1039,76,25,120.97
agent_1040,24,15,120.98
agent_1041,52,1,121.02
agent_1042,82,60,121.06
agent_1043,85,32,121.11
agent_1044,46,74,121.14
agent_1045,76,65,121.14
agent_1046,45,2,121.38
agent_1047,87,77,121.43
agent_1048,11,38,121.46
agent_1049,30,25,121.69
agent_1050,86,85,121.75
agent_1051,38,24,121.77
agent_1052,55,18,121.97
agent_1053,2,38,121.99
agent_1054,63,85,122.08
agent_1055,81,34,122.33
agent_1056,68,10,122.35
agent_1057,25,13,122.43
agent_1058,10,70,122.46
agent_1059,23,86,122.48
agent_1060,70,23,122.49
agent_1061,48,27,122.73
agent_1062,72,56,122.99
agent_1063,85,20,123.03
agent_1064,38,83,123.05
agent_1065,57,23,123.2
agent_1066,22,75,123.25
agent_1067,6,46,123.3
agent_1068,13,11,123.43
