Agent,w_0,w_1,w_2,w_3
agent_79,0.732315,0.704096,0.420750,0.000000
agent_80,0.636205,0.806942,0.444681,0.000000
agent_81,0.591532,0.771284,0.402050,0.000000
agent_82,0.589900,0.768064,0.407715,1.000000
agent_83,0.752614,0.689238,0.375327,0.366024
agent_84,0.485177,0.699995,0.355932,0.129493
agent_85,0.631289,0.729268,0.372300,0.758588
agent_86,0.556183,0.857671,0.297829,0.000000
agent_87,0.702631,0.809327,0.356714,0.833031
agent_88,0.499503,0.649701,0.398837,0.793188
agent_89,0.654902,0.790045,0.399099,0.000000
agent_90,0.704785,0.901896,0.319558,0.000000
agent_91,0.635318,0.808724,0.396907,0.000000
agent_92,0.504121,0.765716,0.299140,0.000000
agent_93,0.616995,0.671938,0.467206,0.000000
agent_94,0.615382,0.864328,0.514575,0.454980
agent_95,0.476932,0.658059,0.359913,0.734365
agent_96,0.829241,0.793321,0.388000,0.184881
agent_97,0.801082,0.820969,0.468226,0.816518
agent_98,0.555490,0.980351,0.352311,0.000000
agent_99,0.660012,0.643099,0.455008,0.063908
agent_100,0.673291,0.797142,0.454380,0.000000
agent_101,0.492964,0.630596,0.235115,0.000000
agent_102,0.682632,0.921042,0.470588,0.853254
agent_103,0.658242,0.985995,0.621222,0.000000
agent_104,0.682882,0.812885,0.470959,0.880345
agent_105,0.548988,0.670004,0.362813,0.463545
agent_106,0.515366,0.708244,0.402390,1.000000
agent_107,0.690688,0.726789,0.516736,0.110086
agent_108,0.540073,0.794478,0.479237,0.090295
agent_109,0.573257,0.855671,0.398775,0.000000
agent_110,0.603179,1.000000,0.498833,0.181224
agent_111,0.585637,0.873896,0.453580,0.183384
agent_112,0.569975,0.895121,0.420441,0.000000
agent_113,0.538653,0.773681,0.498618,0.000000
agent_114,0.662239,0.727305,0.388064,0.000000
agent_115,0.496835,0.643254,0.316691,0.000000
agent_116,0.609045,0.649933,0.402592,0.000000
agent_117,0.733041,0.864649,0.383121,0.031508
agent_118,0.529293,0.667421,0.334713,0.000000
agent_119,0.779264,0.949071,0.363671,0.094635
agent_120,0.736487,0.752024,0.373889,0.000000
agent_121,0.630629,0.804197,0.383525,0.195287
agent_122,0.500191,0.715523,0.393841,0.178904
agent_123,0.501273,1.000000,0.468470,0.247797
agent_124,0.711743,0.882112,0.189468,0.563115
agent_125,0.491849,0.901559,0.288532,0.445069
agent_126,0.360524,0.804152,0.475046,0.000000
agent_127,0.679546,0.759818,0.451401,0.416286
agent_128,0.499783,0.837840,0.396133,0.543240
agent_129,0.616446,0.867333,0.563896,0.000000
agent_130,0.760834,0.912177,0.380653,0.689071
agent_131,0.524020,0.917169,0.382559,0.407367
agent_132,0.405514,0.939378,0.381673,0.000000
agent_133,0.654692,0.843638,0.371107,0.522298
agent_134,0.646573,0.799380,0.328356,0.089213
agent_135,0.677251,0.899207,0.374776,0.624546
agent_136,0.602007,0.917887,0.254449,0.328017
agent_137,0.506286,0.928129,0.428056,1.000000
agent_138,0.847145,0.830653,0.362403,0.000000
agent_139,0.491652,0.782386,0.490706,0.138688
agent_140,0.636334,0.639167,0.370387,0.000000
agent_141,0.817255,0.913682,0.440050,0.188315
agent_142,0.693637,0.763834,0.336950,0.040753
agent_143,0.574675,0.668077,0.466784,0.334530
agent_144,0.559806,0.908828,0.419078,0.000000
agent_145,0.565751,0.748845,0.603515,0.000000
agent_146,0.674033,0.789646,0.340562,0.350107
agent_147,0.634656,0.616871,0.409976,0.000000
agent_148,0.556725,0.913764,0.499930,0.405079
agent_149,0.561671,0.702540,0.647443,0.351723
agent_150,0.537898,0.765440,0.256189,0.000000
agent_151,0.610557,0.908522,0.363921,0.000000
agent_152,0.723550,0.818694,0.385463,0.000000
agent_153,0.600709,0.947473,0.397024,0.000000
agent_154,0.784285,0.709848,0.474032,0.607746
agent_155,0.609076,0.785462,0.350384,0.299690
agent_156,0.456057,0.796656,0.577086,0.463313
agent_157,0.595748,0.697303,0.464738,0.195193
agent_158,0.741778,0.858450,0.238474,0.000000
agent_159,0.620513,0.595689,0.310285,0.367406
agent_160,0.781685,0.764027,0.333621,0.000000
agent_161,0.627278,0.609728,0.468996,0.072275
agent_162,0.580364,0.740715,0.493367,0.000000
agent_163,0.595409,0.881061,0.338994,0.000000
agent_164,0.714984,0.773217,0.233670,0.000000
agent_165,0.730798,0.697272,0.270118,0.000000
agent_166,0.634578,0.740897,0.277121,0.432269
agent_167,0.576308,0.814521,0.476268,0.246618
agent_168,0.613638,0.834198,0.450907,0.200189
agent_169,0.738823,0.673874,0.492053,0.000000
agent_170,0.658824,0.789961,0.566155,0.037128
agent_171,0.689137,0.866721,0.252462,0.000000
agent_172,0.651235,0.894614,0.531012,0.000000
agent_173,0.476856,0.913206,0.269830,0.000000
agent_174,0.513527,0.603989,0.340644,0.356932
agent_175,0.535745,0.753506,0.427288,0.474546
agent_176,0.553369,0.852236,0.155052,0.012882
agent_177,0.611940,0.882722,0.521881,0.280160
agent_178,0.529544,0.849498,0.288687,0.000000
agent_179,0.746061,0.786095,0.322348,0.000000
agent_180,0.603416,0.647155,0.499155,0.401244
agent_181,0.422311,0.718262,0.331039,0.194449
agent_182,0.574296,0.700395,0.310134,1.000000
agent_183,0.590984,0.787857,0.348428,0.089394
agent_184,0.504412,0.811307,0.454639,0.000000
agent_185,0.544451,0.878010,0.409665,0.461990
agent_186,0.624022,0.850750,0.421607,0.000000
agent_187,0.644625,0.844398,0.364844,0.380780
agent_188,0.533002,0.739480,0.297330,0.124453
agent_189,0.538870,0.972130,0.445411,0.000000
agent_190,0.554296,0.972812,0.388808,0.966865
agent_191,0.631338,0.897138,0.417508,0.000000
agent_192,0.502155,0.941368,0.259052,0.441531
agent_193,0.581294,0.697037,0.363863,0.306163
agent_194,0.594730,0.698330,0.374563,0.242191
agent_195,0.485546,0.693666,0.356695,0.000000
agent_196,0.513221,0.786210,0.473977,0.678459
agent_197,0.664535,0.973049,0.237087,0.779280
agent_198,0.607380,0.838372,0.369138,0.028962
agent_199,0.733411,0.739640,0.486277,0.000000
agent_200,0.549557,0.700821,0.317992,0.206529
agent_201,0.712614,0.818763,0.519423,0.000000
agent_202,0.490438,0.771204,0.517734,0.000000
agent_203,0.758665,0.644425,0.263353,0.692944
agent_204,0.373695,0.834318,0.476428,0.000000
agent_205,0.496755,0.758914,0.437822,0.000000
agent_206,0.662382,0.799913,0.498091,0.060962
agent_207,0.650117,0.893173,0.541387,0.858595
agent_208,0.683894,0.843048,0.320703,0.658716
agent_209,0.604189,0.821634,0.182707,0.041261
agent_210,0.670434,0.774920,0.590823,0.000000
agent_211,0.514916,0.811447,0.431506,0.000000
agent_212,0.430004,0.940336,0.428822,0.013712
agent_213,0.638233,0.689107,0.335199,0.000000
agent_214,0.564605,0.952394,0.507753,0.162304
agent_215,0.569870,0.873879,0.467817,0.000000
agent_216,0.742666,0.865978,0.440882,0.206007
agent_217,0.601749,0.814714,0.573104,0.585455
agent_218,0.601886,0.862499,0.460332,0.540083
agent_219,0.528000,0.728367,0.360931,0.605143
agent_220,0.468753,0.687181,0.404680,0.000000
agent_221,0.556885,0.805006,0.362475,0.159153
agent_222,0.718597,0.801602,0.255036,0.069426
agent_223,0.510570,0.700758,0.463202,0.054911
agent_224,0.767120,0.735004,0.515930,0.299749
agent_225,0.641897,0.735363,0.386827,0.143000
agent_226,0.598665,0.902296,0.421896,0.167998
agent_227,0.791042,0.918902,0.429459,0.000000
agent_228,0.576333,0.916232,0.211113,1.000000
agent_229,0.809089,1.000000,0.471796,0.617731
agent_230,0.568359,0.660883,0.471695,0.505632
agent_231,0.570057,0.885130,0.549387,0.932271
agent_232,0.511093,0.947859,0.221543,0.000000
agent_233,0.528041,0.829238,0.424400,0.000000
agent_234,0.544649,0.714851,0.379481,0.076161
agent_235,0.319939,0.660715,0.431233,0.012826
agent_236,0.708638,0.789881,0.470494,0.000000
agent_237,0.628907,0.913087,0.390638,0.000000
agent_238,0.485745,0.710086,0.293190,0.793268
agent_239,0.717937,0.940228,0.449177,0.044610
agent_240,0.533505,0.834220,0.309056,0.510822
agent_241,0.536567,0.984412,0.388832,0.000000
agent_242,0.468590,0.715256,0.430328,0.350071
agent_243,0.525545,0.720666,0.314253,0.300013
agent_244,0.620614,0.692809,0.538435,0.000000
agent_245,0.761592,0.865552,0.315691,0.000000
agent_246,0.662695,0.877032,0.389206,0.428433
agent_247,0.691813,0.752495,0.416242,0.347508
agent_248,0.622562,0.921654,0.585835,0.000000
agent_249,0.505983,0.819281,0.317940,0.935706
agent_250,0.788004,0.799674,0.188503,0.000525
agent_251,0.596388,0.637373,0.446261,0.052013
agent_252,0.449841,0.941129,0.358340,0.129028
agent_253,0.593603,0.800890,0.339480,0.000000
agent_254,0.664857,0.895837,0.411712,0.406934
agent_255,0.645274,0.772780,0.441300,0.470221
agent_256,0.564581,0.778124,0.328884,0.385078
agent_257,0.685433,0.804944,0.363190,0.250963
agent_258,0.717004,0.627957,0.406271,0.000000
agent_259,0.569552,0.876688,0.406413,0.000000
agent_260,0.766516,0.729737,0.460259,0.017961
agent_261,0.409024,0.741708,0.409364,0.000000
agent_262,0.540915,0.636174,0.402225,0.000000
agent_263,0.641671,0.751034,0.460795,0.041218
agent_264,0.780067,0.869290,0.378816,0.573131
agent_265,0.657202,0.795552,0.519211,0.265439
agent_266,0.530521,0.918295,0.298672,0.410815
agent_267,0.620529,0.792712,0.402001,0.367246
agent_268,0.515540,0.855605,0.428196,0.360098
agent_269,0.524485,0.843177,0.444750,0.000000
agent_270,0.559534,0.785552,0.597244,0.337763
agent_271,0.623210,0.816080,0.360902,0.534816
agent_272,0.587109,0.763469,0.455756,0.367433
agent_273,0.751332,0.794801,0.491927,0.072304
agent_274,0.535415,0.687770,0.557175,0.151175
agent_275,0.622230,0.736142,0.405874,0.785358
agent_276,0.629062,0.697747,0.300225,0.336787
agent_277,0.684518,0.852754,0.420750,0.318431
agent_278,0.779094,0.821901,0.461049,0.000000
agent_279,0.759229,1.000000,0.514305,1.000000
agent_280,0.628576,0.615795,0.311859,0.592058
agent_281,0.527577,0.721179,0.559503,0.000000
agent_282,0.428201,0.864864,0.335711,0.478904
agent_283,0.405352,0.878115,0.568242,0.846757
agent_284,0.594867,0.811612,0.404967,0.000000
agent_285,0.540759,0.827427,0.485652,0.147854
agent_286,0.577699,0.840796,0.385640,0.000000
agent_287,0.669784,0.681509,0.385228,1.000000
agent_288,0.562050,1.000000,0.387274,0.088821
agent_289,0.609453,0.888396,0.454308,0.204982
agent_290,0.534038,0.918727,0.355806,0.000000
agent_291,0.584149,0.764874,0.552971,0.320948
agent_292,0.672608,0.766809,0.279552,0.000000
agent_293,0.433891,0.870118,0.465825,0.259921
agent_294,0.673686,0.740767,0.351085,0.677491
agent_295,0.443716,0.811252,0.293383,0.245934
agent_296,0.752057,0.840768,0.409215,0.000000
agent_297,0.681610,0.905768,0.369403,0.000000
agent_298,0.595492,0.668878,0.335116,0.102054
agent_299,0.621520,0.679258,0.423576,0.324047
agent_300,0.722416,0.794321,0.571518,0.366160
agent_301,0.422491,0.781005,0.291808,0.341900
agent_302,0.621603,0.837878,0.353398,0.128703
agent_303,0.403557,0.830480,0.367597,0.367411
agent_304,0.721309,0.970772,0.438693,0.000000
agent_305,0.442027,0.817823,0.222479,0.325123
agent_306,0.669406,0.851731,0.486431,0.045158
agent_307,0.611265,0.888508,0.377816,0.000000
agent_308,0.546299,0.771712,0.511480,0.100929
agent_309,0.653715,0.755080,0.266850,0.478440
agent_310,0.655665,0.900106,0.405718,0.000000
agent_311,0.684545,0.741626,0.522557,0.248800
agent_312,0.525799,0.904086,0.497256,0.534281
agent_313,0.617027,0.950760,0.330564,0.544852
agent_314,0.497151,0.916771,0.377741,0.613848
agent_315,0.529259,0.604280,0.305905,0.062745
agent_316,0.582119,0.938343,0.435488,0.110470
agent_317,0.664229,0.623305,0.342259,0.000000
agent_318,0.584239,0.832464,0.473096,0.657052
agent_319,0.664387,0.871196,0.377503,0.359816
agent_320,0.469476,0.868707,0.268249,0.425324
agent_321,0.467890,0.677078,0.345933,1.000000
agent_322,0.720571,0.949471,0.463001,0.227747
agent_323,0.694826,0.789649,0.440123,0.714848
agent_324,0.651996,0.659308,0.307054,0.373874
agent_325,0.574011,0.756697,0.561617,0.000000
agent_326,0.521897,0.945221,0.352864,0.000000
agent_327,0.493161,0.878990,0.489338,1.000000
agent_328,0.581456,0.660004,0.410764,0.694759
agent_329,0.566453,0.882997,0.331294,0.215479
agent_330,0.460250,0.716270,0.371747,0.293205
agent_331,0.471317,0.705669,0.436520,0.790234
agent_332,0.763094,0.897918,0.335055,0.000000
agent_333,0.582317,0.969353,0.252594,0.292360
agent_334,0.513887,0.768249,0.431681,0.280583
agent_335,0.627519,0.912483,0.484806,0.310941
agent_336,0.657668,0.821903,0.436322,0.000000
agent_337,0.686660,0.764098,0.593548,0.000000
agent_338,0.516834,0.902820,0.369805,0.000000
agent_339,0.487358,0.882394,0.342995,0.000000
agent_340,0.508121,0.685707,0.268436,0.533978
agent_341,0.659725,0.719356,0.465800,0.000000
agent_342,0.488403,1.000000,0.223911,0.000000
agent_343,0.434522,0.666679,0.367795,0.000000
agent_344,0.537379,0.950968,0.409754,0.000000
agent_345,0.518640,0.770337,0.233740,0.235095
agent_346,0.667258,0.918518,0.514800,0.000000
agent_347,0.620559,0.876436,0.153836,0.000000
agent_348,0.435156,0.768033,0.363025,0.089814
agent_349,0.614735,0.722371,0.188967,0.000000
agent_350,0.534455,0.796362,0.411216,0.805866
agent_351,0.750946,0.713214,0.327073,0.149870
agent_352,0.644213,0.756561,0.333914,0.177324
agent_353,0.666713,0.933668,0.308972,0.239655
agent_354,0.488341,0.974555,0.382670,0.000000
agent_355,0.532824,0.753444,0.249037,0.053724
agent_356,0.650609,0.867396,0.425194,0.289885
agent_357,0.517995,0.770650,0.416910,1.000000
agent_358,0.497409,0.937700,0.419886,0.831130
agent_359,0.601406,1.000000,0.181670,0.803443
agent_360,0.624017,0.651164,0.571083,0.081003
agent_361,0.673415,0.774411,0.455066,0.066422
agent_362,0.850293,0.793601,0.523857,0.086682
agent_363,0.628096,0.976177,0.418230,0.228346
agent_364,0.571765,0.755915,0.366035,0.220740
agent_365,0.458428,0.851492,0.477479,0.001981
agent_366,0.576952,0.639857,0.365668,0.182289
agent_367,0.628440,0.766930,0.401938,0.119099
agent_368,0.640397,0.775706,0.350006,0.000000
agent_369,0.587892,0.700706,0.462858,0.000000
agent_370,0.540306,0.765096,0.354776,0.690614
agent_371,0.708956,0.795083,0.338865,1.000000
agent_372,0.535087,0.791145,0.459648,0.011036
agent_373,0.710230,0.779219,0.352170,0.359756
agent_374,0.588967,0.874066,0.193594,0.000000
agent_375,0.636365,0.696650,0.404006,0.000000
agent_376,0.606321,0.717580,0.529927,0.507130
agent_377,0.465750,0.818857,0.313597,0.292816
agent_378,0.686414,0.821174,0.291758,0.721821
agent_379,0.622471,0.608704,0.453084,0.170569
agent_380,0.688098,0.899614,0.283328,0.502237
agent_381,0.528267,0.722873,0.345699,0.392602
agent_382,0.570876,0.630732,0.540394,0.000000
agent_383,0.709403,0.938243,0.247906,0.102720
agent_384,0.674240,0.687301,0.489430,0.033118
agent_385,0.479370,0.742113,0.128611,0.013342
agent_386,0.652581,0.669488,0.454116,0.000000
agent_387,0.579502,0.844559,0.202016,0.683717
agent_388,0.657683,0.943676,0.411799,0.900837
agent_389,0.540812,1.000000,0.360266,0.427806
agent_390,0.673138,0.695565,0.478472,0.000000
agent_391,0.663542,0.763667,0.293028,0.000000
agent_392,0.688814,0.828012,0.553070,0.761153
agent_393,0.540971,0.843506,0.489042,0.000000
agent_394,0.702426,0.945679,0.332227,0.817103
agent_395,0.483835,0.795619,0.394284,0.008650
agent_396,0.598664,0.916018,0.443896,0.067044
agent_397,0.446032,0.743929,0.521042,0.000000
agent_398,0.678903,0.740272,0.538417,0.696183
agent_399,0.424430,0.722486,0.461773,0.339896
agent_400,0.561056,0.946658,0.303736,0.426396
agent_401,0.241738,0.741773,0.360533,0.640447
agent_402,0.542052,0.721395,0.489944,0.313128
agent_403,0.420251,0.773798,0.581189,0.000000
agent_404,0.474014,0.914111,0.409441,0.053187
agent_405,0.535213,0.724163,0.458151,0.708580
agent_406,0.512353,0.920799,0.232060,0.833675
agent_407,0.607533,0.904708,0.393622,0.958011
agent_408,0.651084,0.829871,0.434937,0.127030
agent_409,0.691986,0.799996,0.287104,0.082065
agent_410,0.590433,0.739590,0.506238,0.264262
agent_411,0.775089,1.000000,0.571115,0.028775
agent_412,0.680016,0.796950,0.168062,0.000000
agent_413,0.681682,1.000000,0.379492,0.260973
agent_414,0.540856,0.954538,0.451885,0.783255
agent_415,0.530183,0.801102,0.634345,0.394032
agent_416,0.579054,0.744844,0.489802,0.000000
agent_417,0.762699,0.854901,0.402810,0.253917
agent_418,0.499466,0.833171,0.603214,0.621798
agent_419,0.662885,0.765286,0.299595,0.490431
agent_420,0.505483,0.960487,0.422960,0.653886
agent_421,0.429147,0.728615,0.381123,0.142484
agent_422,0.829922,0.652861,0.343520,0.677749
agent_423,0.565867,0.667442,0.428709,0.000000
agent_424,0.594462,0.723625,0.273855,0.228808
agent_425,0.638786,0.872182,0.467980,0.186766
agent_426,0.655999,0.837636,0.478904,0.000000
agent_427,0.571161,0.872472,0.463979,0.000000
agent_428,0.389023,0.890928,0.519855,0.000000
agent_429,0.469438,0.846243,0.358239,0.478920
agent_430,0.785681,0.603754,0.360056,0.348649
agent_431,0.765435,0.867806,0.437591,0.000000
agent_432,0.595847,0.822613,0.453644,0.420730
agent_433,0.339424,0.764546,0.453154,0.657315
agent_434,0.663472,0.685691,0.542105,0.000000
agent_435,0.661705,0.838172,0.380426,0.000000
agent_436,0.691685,0.645370,0.551908,0.553133
agent_437,0.683765,0.861360,0.517254,0.000000
agent_438,0.653561,0.746064,0.402316,0.000000
agent_439,0.589390,0.741333,0.413411,0.000000
agent_440,0.646922,0.856989,0.277104,0.000000
agent_441,0.577141,0.679985,0.356561,0.367871
agent_442,0.426613,1.000000,0.324991,0.387231
agent_443,0.389532,0.726602,0.426075,0.037158
agent_444,0.686885,0.993344,0.342089,0.068503
agent_445,0.623752,0.828146,0.512622,0.565173
agent_446,0.706220,0.842358,0.461588,0.181164
agent_447,0.718466,0.824905,0.462532,0.000000
agent_448,0.613683,0.682031,0.415959,0.403480
agent_449,0.654509,0.880314,0.453003,0.088799
agent_450,0.623844,0.809296,0.246634,0.000000
agent_451,0.533165,0.971884,0.340708,0.000000
agent_452,0.662834,0.656124,0.376961,0.289032
agent_453,0.751128,0.737925,0.392504,0.149050
agent_454,0.715434,0.800771,0.281333,0.000000
agent_455,0.570857,0.698139,0.431967,0.515857
agent_456,0.668217,0.795235,0.351574,0.313721
agent_457,0.610537,0.863888,0.326819,0.000000
agent_458,0.551812,0.717846,0.312764,0.387726
agent_459,0.682384,0.919990,0.349188,0.000000
agent_460,0.575955,0.805723,0.499451,0.348156
agent_461,0.625870,0.949130,0.373552,0.907820
agent_462,0.517415,0.739959,0.317131,0.872135
agent_463,0.678453,0.685647,0.358846,0.432574
agent_464,0.700726,0.949038,0.443805,0.000000
agent_465,0.718154,0.645470,0.544614,0.617025
agent_466,0.709471,0.868147,0.341722,0.505268
agent_467,0.639726,0.793620,0.503934,0.023215
agent_468,0.698721,0.842588,0.355920,0.674919
agent_469,0.540961,0.805457,0.303729,0.470732
agent_470,0.537757,0.838714,0.417342,0.000000
agent_471,0.599385,0.728510,0.313052,0.438226
agent_472,0.747786,0.785633,0.500990,0.105139
agent_473,0.619742,0.922515,0.218164,0.197253
agent_474,0.452833,0.801982,0.453236,0.291832
agent_475,0.649121,0.943309,0.461738,1.000000
agent_476,0.613492,0.861925,0.322745,0.814438
agent_477,0.804527,0.796562,0.378913,0.542581
agent_478,0.659008,0.760990,0.264520,0.122100
agent_479,0.597630,0.759747,0.278198,0.502629
agent_480,0.618844,0.617515,0.348844,0.064526
agent_481,0.496776,0.788527,0.452327,0.454388
agent_482,0.499692,0.927562,0.540510,0.046729
agent_483,0.515552,0.520677,0.447666,0.233417
agent_484,0.559877,0.856552,0.530938,0.064989
agent_485,0.668231,0.840318,0.424804,0.000000
agent_486,0.739119,0.699649,0.276830,0.659833
agent_487,0.719418,0.951873,0.433546,0.000000
agent_488,0.753194,0.707619,0.420840,0.000000
agent_489,0.489392,0.741025,0.395471,0.000000
agent_490,0.604177,0.821186,0.369056,0.000000
agent_491,0.486982,0.689348,0.500312,0.293023
agent_492,0.662793,0.794308,0.406348,0.000000
agent_493,0.624351,0.693378,0.271746,0.000000
agent_494,0.549425,0.727355,0.404016,0.000000
agent_495,0.593040,0.790795,0.286006,0.456501
agent_496,0.786559,0.651791,0.437630,0.000000
agent_497,0.454885,0.964782,0.620902,0.996235
agent_498,0.411267,0.744049,0.335203,0.041303
agent_499,0.509124,0.702827,0.305854,0.668825
agent_500,0.757688,0.813886,0.296968,0.732830
agent_501,0.510066,0.611977,0.345304,0.000000
agent_502,0.630737,0.790713,0.405622,0.296472
agent_503,0.634750,0.786877,0.473234,0.924626
agent_504,0.597916,0.689988,0.477780,0.000000
agent_505,0.591977,1.000000,0.398661,0.000000
agent_506,0.557672,0.832883,0.324496,0.275623
agent_507,0.716952,0.897482,0.468229,0.110287
agent_508,0.476251,0.849428,0.464059,0.242376
agent_509,0.804503,0.781721,0.276100,0.000000
agent_510,0.530768,0.985168,0.449357,0.962937
agent_511,0.674445,0.716786,0.303778,0.242120
agent_512,0.724566,0.782274,0.370442,0.246194
agent_513,0.723298,0.930351,0.426253,0.159417
agent_514,0.578148,0.879221,0.288975,0.617175
agent_515,0.621171,0.733600,0.483444,0.000000
agent_516,0.581362,0.632373,0.662066,0.511038
agent_517,0.566953,0.903451,0.400280,0.077423
agent_518,0.685705,0.858538,0.381615,0.047050
agent_519,0.606590,0.778041,0.374129,0.000000
agent_520,0.699512,0.653170,0.580721,0.226825
agent_521,0.523000,0.819072,0.380847,0.353153
agent_522,0.631498,0.852731,0.551523,0.000000
agent_523,0.630357,0.818275,0.309765,0.000000
agent_524,0.564841,0.913727,0.247974,0.049438
agent_525,0.623857,0.883125,0.299854,0.935159
agent_526,0.476822,0.939961,0.488172,0.071409
agent_527,0.486289,0.822703,0.441235,0.000000
agent_528,0.539271,0.837846,0.569392,0.225985
agent_529,0.527713,0.964513,0.390625,0.240227
agent_530,0.598787,0.841622,0.316324,0.000000
agent_531,0.712529,0.881227,0.192302,0.480788
agent_532,0.660529,0.888712,0.421509,0.000000
agent_533,0.673763,0.829277,0.476302,0.000000
agent_534,0.575817,0.873044,0.540011,0.461796
agent_535,0.582622,0.784051,0.424669,0.658678
agent_536,0.644895,0.790429,0.366603,0.000000
agent_537,0.545964,0.829138,0.304393,0.638765
agent_538,0.729457,0.864582,0.411075,0.000000
agent_539,0.569212,0.605053,0.361363,0.463263
agent_540,0.663258,0.751654,0.243962,1.000000
agent_541,0.880345,0.725052,0.531584,0.026163
agent_542,0.675503,0.748898,0.302989,0.000000
agent_543,0.598689,0.941915,0.323516,0.258327
agent_544,0.683993,0.967842,0.355512,0.042757
agent_545,0.593312,0.696882,0.349353,0.121082
agent_546,0.537756,0.632488,0.456172,0.229028
agent_547,0.636374,0.707967,0.358443,0.530512
agent_548,0.592251,1.000000,0.475999,0.914223
agent_549,0.552974,0.925898,0.247892,0.000000
agent_550,0.620135,0.820296,0.448056,0.459625
agent_551,0.545902,1.000000,0.395227,0.512614
agent_552,0.400179,0.860829,0.407259,0.174673
agent_553,0.686134,0.720142,0.603640,0.000000
agent_554,0.521609,0.738631,0.547725,0.000000
agent_555,0.645979,0.618819,0.577407,0.000000
agent_556,0.675095,0.923222,0.235181,0.058184
agent_557,0.487759,0.740354,0.465452,0.000000
