Link,Travel,Waiting,Fuel,Toll
e48-49,19.831730,29.453237,15.000000,1.500000
e48-58,19.831730,29.453237,20.000000,2.000000
e49-39,19.831730,29.453237,15.000000,1.500000
e49-48,19.831730,29.453237,15.000000,0.000000
e49-59,19.831730,29.453237,25.000000,2.500000
e5-15,19.831730,29.453237,20.000000,2.000000
e5-4,19.831730,29.453237,15.000000,1.500000
e5-6,19.831730,29.453237,20.000000,2.000000
e50-40,19.831730,29.453237,20.000000,2.000000
e50-51,19.831730,29.453237,25.000000,2.500000
e50-60,19.831730,29.453237,20.000000,2.000000
e51-41,19.831730,29.453237,20.000000,2.000000
e51-50,19.831730,29.453237,20.000000,2.000000
e51-52,19.831730,29.453237,20.000000,2.000000
e51-61,19.831730,29.453237,20.000000,2.000000
e52-42,19.831730,29.453237,20.000000,2.000000
e52-51,19.831730,29.453237,20.000000,0.000000
e52-53,19.831730,29.453237,25.000000,2.500000
e52-62,19.831730,29.453237,15.000000,1.500000
e53-43,19.831730,29.453237,20.000000,2.000000
e53-52,19.831730,29.453237,15.000000,1.500000
e53-54,19.831730,29.453237,15.000000,1.500000
e53-63,19.831730,29.453237,15.000000,1.500000
e54-44,19.831730,29.453237,20.000000,2.000000
e54-53,19.831730,29.453237,20.000000,2.000000
e54-55,19.831730,29.453237,20.000000,2.000000
e54-64,19.831730,29.453237,20.000000,2.000000
e55-45,19.831730,29.453237,25.000000,2.500000
e55-54,19.831730,29.453237,15.000000,1.500000
e55-56,19.831730,29.453237,15.000000,1.500000
e55-65,19.831730,29.453237,25.000000,2.500000
e56-46,19.831730,29.453237,15.000000,1.500000
e56-55,19.831730,29.453237,20.000000,2.000000
e56-57,19.831730,29.453237,15.000000,1.500000
e56-66,19.831730,29.453237,20.000000,2.000000
e57-47,19.831730,29.453237,20.000000,2.000000
e57-56,19.831730,29.453237,25.000000,2.500000
e57-58,19.831730,29.453237,20.000000,2.000000
e57-67,19.831730,29.453237,20.000000,2.000000
e58-48,19.831730,29.453237,20.000000,2.000000
e58-57,19.831730,29.453237,20.000000,2.000000
e58-59,19.831730,29.453237,20.000000,2.000000
e58-68,19.831730,29.453237,20.000000,2.000000
e59-49,19.831730,29.453237,20.000000,2.000000
e59-58,19.831730,29.453237,25.000000,2.500000
e59-69,19.831730,29.453237,20.000000,2.000000
e6-16,19.831730,29.453237,20.000000,2.000000
e6-5,19.831730,29.453237,25.000000,2.500000
e6-7,19.831730,29.453237,20.000000,2.000000
e60-50,19.831730,29.453237,25.000000,2.500000
e60-61,19.831730,29.453237,15.000000,1.500000
e60-70,19.831730,29.453237,15.000000,1.500000
e61-51,19.831730,29.453237,25.000000,2.500000
e61-60,19.831730,29.453237,20.000000,2.000000
e61-62,19.831730,29.453237,20.000000,2.000000
e61-71,19.831730,29.453237,20.000000,2.000000
e62-52,19.831730,29.453237,25.000000,2.500000
e62-61,19.831730,29.453237,20.000000,2.000000
e62-63,19.831730,29.453237,15.000000,1.500000
e62-72,19.831730,29.453237,25.000000,2.500000
e63-53,19.831730,29.453237,20.000000,2.000000
e63-62,19.831730,29.453237,25.000000,2.500000
e63-64,19.831730,29.453237,15.000000,1.500000
e63-73,19.831730,29.453237,25.000000,2.500000
e64-54,19.831730,29.453237,15.000000,1.500000
e64-63,19.831730,29.453237,20.000000,0.000000
e64-65,19.831730,29.453237,25.000000,2.500000
e64-74,19.831730,29.453237,20.000000,2.000000
e65-55,19.831730,29.453237,25.000000,2.500000
e65-64,19.831730,29.453237,20.000000,2.000000
e65-66,19.831730,29.453237,15.000000,1.500000
e65-75,19.831730,29.453237,25.000000,2.500000
e66-56,19.831730,29.453237,25.000000,2.500000
e66-65,19.831730,29.453237,15.000000,1.500000
e66-67,19.831730,29.453237,15.000000,1.500000
e66-76,19.831730,29.453237,20.000000,2.000000
e67-57,19.831730,29.453237,25.000000,2.500000
e67-66,19.831730,29.453237,25.000000,0.000000
e67-68,19.831730,29.453237,25.000000,2.500000
e67-77,19.831730,29.453237,15.000000,1.500000
e68-58,19.831730,29.453237,20.000000,2.000000
e68-67,19.831730,29.453237,25.000000,2.500000
e68-69,19.831730,29.453237,25.000000,2.500000
e68-78,19.831730,29.453237,20.000000,2.000000
e69-59,19.831730,29.453237,25.000000,2.500000
e69-68,19.831730,29.453237,20.000000,2.000000
e69-79,19.831730,29.453237,15.000000,1.500000
e7-17,19.831730,29.453237,15.000000,1.500000
e7-6,19.831730,29.453237,25.000000,2.500000
e7-8,19.831730,29.453237,15.000000,1.500000
e70-60,19.831730,29.453237,25.000000,2.500000
e70-71,19.831730,29.453237,25.000000,2.500000
e70-80,19.831730,29.453237,15.000000,0.000000
e71-61,19.831730,29.453237,25.000000,2.500000
e71-70,19.831730,29.453237,15.000000,1.500000
e71-72,19.831730,29.453237,15.000000,1.500000
e71-81,19.831730,29.453237,15.000000,1.500000
e72-62,19.831730,29.453237,20.000000,2.000000
e72-71,19.831730,29.453237,15.000000,1.500000
e72-73,19.831730,29.453237,15.000000,1.500000
e72-82,19.831730,29.453237,20.000000,2.000000
e73-63,19.831730,29.453237,15.000000,1.500000
e73-72,19.831730,29.453237,15.000000,1.500000
e73-74,19.831730,29.453237,25.000000,2.500000
e73-83,19.831730,29.453237,15.000000,1.500000
e74-64,19.831730,29.453237,15.000000,1.500000
e74-73,19.831730,29.453237,15.000000,1.500000
e74-75,19.831730,29.453237,15.000000,1.500000
e74-84,19.831730,29.453237,15.000000,1.500000
e75-65,19.831730,29.453237,15.000000,1.500000
e75-74,19.831730,29.453237,25.000000,2.500000
e75-76,19.831730,29.453237,25.000000,2.500000
e75-85,19.831730,29.453237,25.000000,2.500000
e76-66,19.831730,29.453237,15.000000,1.500000
e76-75,19.831730,29.453237,20.000000,2.000000
e76-77,19.831730,29.453237,15.000000,1.500000
e76-86,19.831730,29.453237,25.000000,0.000000
e77-67,19.831730,29.453237,25.000000,2.500000
e77-76,19.831730,29.453237,15.000000,1.500000
e77-78,19.831730,29.453237,25.000000,2.500000
e77-87,19.831730,29.453237,25.000000,2.500000
e78-68,19.831730,29.453237,15.000000,0.000000
e78-77,19.831730,29.453237,20.000000,2.000000
e78-79,19.831730,29.453237,15.000000,1.500000
e78-88,19.831730,29.453237,20.000000,2.000000
e79-69,19.831730,29.453237,15.000000,1.500000
e79-78,19.831730,29.453237,15.000000,0.000000
e79-89,19.831730,29.453237,20.000000,2.000000
e8-18,19.831730,29.453237,15.000000,1.500000
e8-7,19.831730,29.453237,20.000000,0.000000
e8-9,19.831730,29.453237,20.000000,2.000000
e80-70,19.831730,29.453237,15.000000,1.500000
e80-81,19.831730,29.453237,25.000000,2.500000
e80-90,19.831730,29.453237,20.000000,2.000000
e81-71,19.831730,29.453237,20.000000,2.000000
e81-80,19.831730,29.453237,15.000000,1.500000
e81-82,19.831730,29.453237,15.000000,1.500000
e81-91,19.831730,29.453237,15.000000,0.000000
e82-72,19.831730,29.453237,15.000000,1.500000
e82-81,19.831730,29.453237,25.000000,2.500000
e82-83,19.831730,29.453237,15.000000,1.500000
e82-92,19.831730,29.453237,25.000000,2.500000
e83-73,19.831730,29.453237,15.000000,1.500000
e83-82,19.831730,29.453237,20.000000,2.000000
e83-84,19.831730,29.453237,25.000000,2.500000
e83-93,19.831730,29.453237,25.000000,2.500000
e84-74,19.831730,29.453237,25.000000,2.500000
e84-83,19.831730,29.453237,15.000000,1.500000
e84-85,19.831730,29.453237,20.000000,2.000000
e84-94,19.831730,29.453237,20.000000,2.000000
e85-75,19.831730,29.453237,15.000000,0.000000
e85-84,19.831730,29.453237,15.000000,1.500000
e85-86,19.831730,29.453237,15.000000,1.500000
e85-95,19.831730,29.453237,20.000000,2.000000
e86-76,19.831730,29.453237,25.000000,2.500000
e86-85,19.831730,29.453237,20.000000,2.000000
e86-87,19.831730,29.453237,20.000000,2.000000
e86-96,19.831730,29.453237,25.000000,2.500000
e87-77,19.831730,29.453237,25.000000,2.500000
e87-86,19.831730,29.453237,15.000000,1.500000
e87-88,19.831730,29.453237,20.000000,2.000000
e87-97,19.831730,29.453237,20.000000,0.000000
e88-78,19.831730,29.453237,20.000000,2.000000
e88-87,19.831730,29.453237,25.000000,2.500000
e88-89,19.831730,29.453237,15.000000,1.500000
e88-98,19.831730,29.453237,15.000000,1.500000
e89-79,19.831730,29.453237,25.000000,2.500000
e89-88,19.831730,29.453237,25.000000,2.500000
e89-99,19.831730,29.453237,20.000000,2.000000
e9-19,19.831730,29.453237,25.000000,2.500000
e9-8,19.831730,29.453237,20.000000,2.000000
e90-80,19.831730,29.453237,15.000000,1.500000
e90-91,19.831730,29.453237,15.000000,1.500000
e91-81,19.831730,29.453237,20.000000,2.000000
e91-90,19.831730,29.453237,20.000000,2.000000
e91-92,19.831730,29.453237,15.000000,1.500000
e92-82,19.831730,29.453237,25.000000,2.500000
e92-91,19.831730,29.453237,25.000000,2.500000
e92-93,19.831730,29.453237,25.000000,2.500000
e93-83,19.831730,29.453237,20.000000,2.000000
e93-92,19.831730,29.453237,20.000000,2.000000
e93-94,19.831730,29.453237,15.000000,1.500000
e94-84,19.831730,29.453237,25.000000,2.500000
e94-93,19.831730,29.453237,20.000000,2.000000
e94-95,19.831730,29.453237,20.000000,2.000000
e95-85,19.831730,29.453237,15.000000,1.500000
e95-94,19.831730,29.453237,15.000000,1.500000
e95-96,19.831730,29.453237,20.000000,2.000000
e96-86,19.831730,29.453237,20.000000,2.000000
e96-95,19.831730,29.453237,20.000000,0.000000
e96-97,19.831730,29.453237,15.000000,1.500000
e97-87,19.831730,29.453237,20.000000,2.000000
e97-96,19.831730,29.453237,20.000000,2.000000
e97-98,19.831730,29.453237,20.000000,2.000000
e98-88,19.831730,29.453237,15.000000,1.500000
e98-97,19.831730,29.453237,25.000000,2.500000
e98-99,19.831730,29.453237,20.000000,2.000000
e99-89,19.831730,29.453237,20.000000,2.000000
e99-98,19.831730,29.453237,25.000000,2.500000
