Agent,w1,w2,w3,w4
agent_68,0.9399436779,0.9446843538,0.9475923811,0.881717897
agent_69,0.8475318096,1.1492261602,1.0338294368,0.8322278371
agent_70,0.8233082281,1.1960213035,0.8659038673,1.1855113134
agent_71,1.1946030385,0.8178068462,1.0824124279,0.8242879796
agent_72,0.9585872133,1.0486158429,0.952069316,0.8033697052
agent_73,0.9352394459,1.0356485572,0.983075713,0.9184977842
agent_74,1.0478529512,0.9629377415,1.0992498707,0.9194380746
agent_75,0.9807610993,0.9864988116,0.8776149926,1.0827257556
agent_76,0.9968766868,1.0950243908,1.0063891067,1.1245026819
agent_77,0.8157792365,0.9355354985,0.8610304569,0.8353215307
agent_78,0.8989907192,1.0869522326,0.8306141857,1.0839846925
agent_79,1.0894869329,1.0571917495,0.8914452135,0.9629593383
agent_80,0.9418270682,1.1059569052,1.1007258671,1.0697771843
agent_81,0.8988816189,0.9710134475,1.1399284439,1.1168560489
agent_82,1.1028947598,1.088424887,1.1077838474,0.8483522345
agent_83,1.0425315394,0.8660221845,0.8812268001,1.1516757712
agent_84,0.9348307153,1.0085289061,1.1870215585,1.1225380815
agent_85,0.8827954501,0.8290508616,0.8818294444,1.1869381184
agent_86,1.1270431347,0.9451630802,0.8672968746,0.8951800625
agent_87,1.1058891381,1.1882790383,0.9576478228,1.1278475766
agent_88,1.145080523,0.8639288971,0.9609822055,1.1982407595
agent_89,1.0571855751,1.0731963698,1.0257118314,0.8609127695
agent_90,1.1738957679,0.8879282569,0.8851098521,0.8618006058
agent_91,1.1329347319,0.8069208498,1.1487278404,0.8530903939
agent_92,0.8486816023,0.9031815771,0.9284171833,1.0944914068
agent_93,0.8443808766,0.8688876245,1.1972989066,0.8281597076
agent_94,0.8057512547,1.0895103631,0.8776614703,1.0596122215
agent_95,1.1749130482,0.9194811682,0.833351268,1.0996178201
agent_96,0.9306903852,1.00049076,1.1241495596,0.8599490132
agent_97,0.9021329165,1.1772640106,0.9828872613,1.0832677802
agent_98,1.1043781486,0.8694127098,0.8122348941,0.8328999814
agent_99,0.9866064671,1.0386380447,0.9268251412,0.9107439776
